track_genre,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
kids,15.116,156765.862,0.011,0.786,0.609,5.092,-8.295,0.733,0.16,0.24,0.02,0.17,0.682,121.214,3.944
latin,12.801,209706.525,0.104,0.71,0.721,5.434,-5.19,0.545,0.092,0.198,0.004,0.18,0.623,122.018,3.947
latino,51.658,206404.769,0.336,0.752,0.705,5.466,-5.76,0.577,0.124,0.225,0.011,0.172,0.628,122.728,3.974
malay,30.291,256738.461,0.035,0.627,0.577,5.107,-8.353,0.562,0.081,0.409,0.009,0.175,0.504,119.389,3.763
mandopop,44.864,251553.098,0.005,0.547,0.508,5.227,-7.957,0.761,0.04,0.469,0.003,0.157,0.355,124.024,3.951
metal,55.207,253317.241,0.253,0.481,0.833,5.305,-5.162,0.569,0.082,0.04,0.057,0.209,0.417,130.331,3.908
metalcore,43.444,227118.626,0.263,0.421,0.901,5.082,-4.665,0.514,0.111,0.017,0.032,0.264,0.324,129.486,3.936
minimal-techno,33.32,376597.816,0.004,0.733,0.687,5.492,-9.734,0.55,0.063,0.068,0.747,0.136,0.284,124.903,3.953
mpb,41.011,228786.098,0.007,0.576,0.563,5.597,-9.287,0.693,0.059,0.454,0.015,0.354,0.556,118.616,3.914
new-age,29.357,304139.871,0.003,0.348,0.219,4.736,-18.465,0.629,0.046,0.815,0.708,0.21,0.184,108.15,3.721
opera,24.958,227231.405,0.0,0.307,0.285,5.088,-14.411,0.75,0.048,0.851,0.148,0.23,0.213,104.353,3.685
pagode,45.607,233461.858,0.013,0.562,0.716,5.273,-7.388,0.697,0.063,0.564,0.0,0.566,0.697,126.752,4.0
party,24.468,198612.826,0.054,0.673,0.866,5.425,-4.459,0.763,0.085,0.089,0.001,0.283,0.676,131.122,3.959
piano,49.529,197392.226,0.011,0.458,0.299,4.994,-18.533,0.736,0.047,0.729,0.568,0.146,0.315,115.792,3.757
pop,57.072,221901.753,0.064,0.598,0.598,5.54,-6.966,0.494,0.082,0.388,0.007,0.165,0.472,119.977,3.889
pop-film,59.02,283604.33,0.001,0.59,0.6,5.338,-7.87,0.567,0.062,0.454,0.008,0.167,0.527,117.176,3.889
power-pop,26.232,183710.812,0.037,0.47,0.808,5.145,-6.641,0.787,0.06,0.085,0.066,0.224,0.614,135.037,3.968
progressive-house,46.623,206883.144,0.061,0.617,0.824,5.241,-5.471,0.455,0.075,0.056,0.218,0.223,0.354,126.124,3.991
psych-rock,42.703,246797.258,0.016,0.495,0.567,5.209,-10.441,0.605,0.049,0.341,0.102,0.229,0.542,120.019,3.89
punk,41.912,221463.768,0.188,0.51,0.774,5.331,-6.016,0.757,0.062,0.158,0.037,0.184,0.563,134.701,3.934
punk-rock,40.527,221448.486,0.083,0.52,0.801,5.054,-6.185,0.712,0.061,0.088,0.035,0.245,0.589,130.718,3.965
r-n-b,43.249,211077.928,0.142,0.649,0.603,5.409,-7.166,0.706,0.091,0.42,0.005,0.216,0.67,121.032,3.796
reggae,29.704,221240.662,0.113,0.718,0.693,5.789,-5.943,0.599,0.11,0.206,0.002,0.212,0.674,125.024,4.007
reggaeton,44.429,241419.071,0.232,0.745,0.734,5.321,-6.024,0.536,0.149,0.191,0.001,0.166,0.675,121.195,4.0
rock,27.612,229332.483,0.043,0.558,0.666,4.991,-7.028,0.647,0.062,0.214,0.021,0.184,0.52,123.559,3.957
rock-n-roll,36.144,176187.571,0.003,0.547,0.517,4.967,-9.425,0.817,0.045,0.532,0.014,0.234,0.665,119.745,3.85
rockabilly,30.739,178418.154,0.011,0.562,0.709,5.51,-7.823,0.762,0.055,0.349,0.027,0.222,0.729,126.666,3.914
romance,3.715,199577.766,0.004,0.433,0.301,5.241,-13.07,0.359,0.065,0.865,0.054,0.213,0.398,109.718,3.691
sad,51.726,151637.747,0.509,0.701,0.474,5.265,-9.844,0.623,0.135,0.448,0.079,0.163,0.441,118.947,3.984
