genre,community_id,term,tfidf_weight
disco,2,star,0.04173034203491829
disco,2,together,0.03768376953291128
disco,2,dub,0.036315176955582146
disco,2,show,0.03492789615612183
disco,2,ni,0.034144128045325295
disco,2,beside,0.0316767427225919
disco,2,hoo,0.031013829326351855
disco,2,promised,0.030455152351232223
synth-pop,2,love,0.05768200903523836
synth-pop,2,chance,0.04342763106962057
synth-pop,2,heart,0.04320495707002642
synth-pop,2,much,0.037196183487396506
synth-pop,2,world,0.036218147436776434
synth-pop,2,goodbye,0.03558426159021169
synth-pop,2,around,0.03549697790261858
synth-pop,2,maybe,0.03546678785543148
synth-pop,2,week,0.03291831651008439
synth-pop,2,relax,0.03071939032930339
synth-pop,2,hill,0.02996698940644436
synth-pop,2,free,0.02904652666658112
synth-pop,2,line,0.028064444316970326
synth-pop,2,close,0.027989372897939437
synth-pop,2,enough,0.027855848397363665
